timestamp,result,confidence,genuine_probability,model
2026-04-02 21:05:32,Access Granted,69.00%,69.00%,Extra Trees
2026-04-02 21:12:33,Access Denied,86.67%,13.33%,Extra Trees
2026-04-02 21:12:45,Access Granted,81.33%,81.33%,Extra Trees
2026-04-02 21:43:44,user1,Access Granted,61.23%,46.00%,Extra Trees
2026-04-02 21:46:01,user3,Access Denied,20.65%,59.00%,Extra Trees
2026-04-02 21:46:37,user2,Access Denied,25.11%,60.33%,Extra Trees
2026-04-02 21:47:09,user1,Access Granted,71.78%,46.67%,Extra Trees
2026-04-02 22:53:06,user1,Access Granted,68.36%,56.00%,Extra Trees
2026-04-03 22:40:22,user1,Access Denied,48.52%,39.67%,Extra Trees
2026-04-03 22:40:42,user1,Access Granted,57.35%,59.33%,Extra Trees
2026-04-03 22:43:36,user1,Access Granted,81.42%,76.00%,Extra Trees
2026-04-03 22:47:03,user1,Access Denied,53.00%,46.67%,Extra Trees
2026-04-03 23:03:57,user1,Access Denied,33.76%,42.67%,Extra Trees
2026-04-03 23:07:44,user1,Access Denied,51.45%,42.67%,Extra Trees
2026-04-03 23:08:06,user1,Access Denied,52.63%,49.33%,Extra Trees
2026-04-03 23:08:20,user1,Access Granted,70.83%,72.67%,Extra Trees
2026-04-03 23:09:43,user1,Access Granted,68.88%,77.67%,Extra Trees
2026-04-03 23:13:11,user1,Access Granted,68.57%,85.00%,Extra Trees
2026-04-03 23:17:22,user1,Access Denied,40.88%,42.00%,Extra Trees
2026-04-03 23:17:57,user1,Access Granted,76.30%,65.33%,Extra Trees
2026-04-03 23:22:09,user1,Access Denied,40.53%,42.00%,Extra Trees
2026-04-03 23:22:19,user1,Access Granted,67.82%,48.67%,Extra Trees
2026-04-03 23:27:21,user1,Access Denied,43.45%,39.00%,Extra Trees
2026-04-03 23:31:24,user1,Access Granted,57.99%,41.33%,Extra Trees
2026-04-03 23:34:34,user1,Access Granted,69.43%,46.00%,Extra Trees
2026-04-03 23:39:48,user1,Access Granted,56.14%,63.00%,Extra Trees
2026-04-03 23:43:55,user1,Access Granted,63.16%,34.00%,Extra Trees
2026-04-03 23:50:50,user1,Access Granted,56.04%,35.33%,Extra Trees
2026-04-03 23:54:03,user1,Access Granted,59.07%,34.33%,Extra Trees
2026-04-04 00:00:19,user1,Access Granted,55.03%,62.00%,Extra Trees
2026-04-04 00:02:10,user1,Access Granted,71.30%,45.00%,Extra Trees
2026-04-04 00:04:51,user1,Access Denied,48.75%,34.00%,Extra Trees
2026-04-04 00:05:03,user1,Access Granted,67.05%,43.00%,Extra Trees
2026-04-04 00:06:24,user1,Access Granted,61.80%,36.00%,Extra Trees
2026-04-04 00:09:15,user1,Access Denied,43.38%,29.00%,Extra Trees
2026-04-04 00:09:25,user1,Access Granted,59.97%,32.33%,Extra Trees
2026-04-04 00:10:28,user1,Access Granted,57.42%,31.33%,Extra Trees
2026-04-04 00:12:29,user1,Access Granted,61.53%,39.67%,Extra Trees
2026-04-04 00:16:45,user1,Access Denied,40.88%,47.33%,Extra Trees
2026-04-04 00:16:55,user1,Access Denied,40.36%,37.00%,Extra Trees
2026-04-04 00:17:04,user1,Access Granted,68.22%,41.33%,Extra Trees
2026-04-04 00:35:17,user1,Access Granted,56.86%,32.67%,Extra Trees
2026-04-04 10:04:02,user1,Access Granted,80.65%,75.33%,Extra Trees
2026-04-04 10:04:26,user1,Access Granted,69.58%,75.00%,Extra Trees
2026-04-04 10:05:41,user1,Access Denied,40.51%,43.33%,Extra Trees
2026-04-04 10:05:51,user1,Access Denied,27.56%,41.33%,Extra Trees
2026-04-04 10:06:04,user1,Access Denied,10.38%,29.67%,Extra Trees
2026-04-04 10:06:21,user1,Access Denied,49.84%,20.00%,Extra Trees
2026-04-04 10:06:33,user1,Access Denied,44.22%,48.00%,Extra Trees
2026-04-04 10:06:48,user1,Access Granted,78.45%,79.67%,Extra Trees
2026-04-04 10:07:25,user1,Access Denied,40.84%,34.33%,Extra Trees
2026-04-04 10:07:46,user1,Access Denied,40.47%,24.00%,Extra Trees
2026-04-04 10:08:09,user1,Access Denied,30.67%,19.00%,Extra Trees
2026-04-04 10:08:27,user1,Access Granted,70.66%,65.67%,Extra Trees
2026-04-04 10:12:35,user1,Access Granted,71.01%,52.00%,Extra Trees
2026-04-05 12:05:51,user1,Access Granted,59.38%,60.67%,Extra Trees
2026-04-05 13:04:38,user1,Access Denied,11.67%,33.33%,Extra Trees
2026-04-05 13:04:49,user1,Access Granted,72.48%,60.00%,Extra Trees
2026-04-05 13:06:41,user1,Access Granted,62.65%,66.67%,Extra Trees
2026-04-06 09:35:14,user1,Access Denied,22.87%,65.33%,Extra Trees
2026-04-06 09:35:25,user1,Access Denied,18.32%,52.33%,Extra Trees
2026-04-06 09:35:42,user1,Access Granted,69.41%,78.33%,Extra Trees
2026-04-06 10:06:23,user1,Access Granted,88.15%,93.00%,Extra Trees
2026-04-06 11:16:16,user1,Access Denied,22.07%,50.00%,Extra Trees
2026-04-06 11:16:25,user1,Access Denied,44.22%,46.67%,Extra Trees
2026-04-06 11:16:34,user1,Access Granted,69.24%,51.67%,Extra Trees
2026-04-06 11:16:52,user1,Access Granted,67.11%,45.00%,Extra Trees
2026-04-07 10:40:34,user1,Access Granted,82.89%,87.00%,Extra Trees
2026-04-07 11:05:09,user1,Access Granted,75.07%,75.33%,Extra Trees
2026-04-07 11:38:24,user1,Access Granted,74.31%,54.00%,Extra Trees
2026-04-07 11:39:45,user1,Access Denied,46.91%,59.00%,Extra Trees
2026-04-09 21:14:23,user1,Access Denied,28.67%,35.33%,Extra Trees
2026-04-09 21:14:43,user1,Access Denied,37.37%,12.00%,Extra Trees
2026-04-09 21:14:54,user1,Access Granted,83.86%,69.00%,Extra Trees
2026-04-09 22:03:28,user1,Access Granted,58.66%,77.00%,Extra Trees
2026-04-09 22:09:05,user1,Access Granted,65.37%,69.67%,Extra Trees
2026-04-09 22:20:21,user1,Access Denied,37.85%,56.33%,Extra Trees
2026-04-09 22:31:42,user1,Access Denied,21.72%,49.00%,Extra Trees
2026-04-09 22:31:51,user1,Access Denied,37.85%,45.00%,Extra Trees
2026-04-09 22:32:02,user1,Access Granted,70.10%,64.00%,Extra Trees
2026-04-13 22:17:48,user1,Access Granted,57.02%,38.33%,Extra Trees
2026-04-13 22:32:48,user1,Access Granted,60.26%,53.00%,Extra Trees
2026-04-13 22:39:41,user1,Access Granted,72.08%,50.33%,Extra Trees
2026-04-13 22:47:19,user1,Access Granted,79.23%,56.67%,Extra Trees
2026-04-27 22:58:20,m,Access Granted,57.47%,60.00%,Extra Trees
2026-04-27 22:58:44,m,Access Granted,78.31%,76.33%,Extra Trees
2026-04-27 23:53:21,m,Access Denied,19.25%,55.00%,Extra Trees
2026-04-27 23:53:31,m,Access Denied,19.48%,55.67%,Extra Trees
2026-04-27 23:53:49,m,Access Granted,67.24%,55.67%,Extra Trees
2026-04-28 00:10:50,m,Access Granted,60.70%,65.00%,Extra Trees
2026-04-28 00:10:52,m,Access Granted,61.41%,65.00%,Extra Trees
2026-04-28 00:19:12,m,Access Denied,43.01%,60.00%,Extra Trees
2026-04-28 00:19:20,m,Access Granted,74.97%,59.00%,Extra Trees
2026-04-28 23:39:01,m,Access Granted,69.98%,84.33%,Extra Trees
2026-04-28 23:39:36,m,Access Granted,59.44%,63.33%,Extra Trees
2026-04-28 23:48:13,m,Access Granted,69.83%,63.00%,Extra Trees
2026-04-28 23:48:29,m,Access Denied,44.21%,48.67%,Extra Trees
2026-04-28 23:54:40,m,Access Granted,69.07%,67.00%,Extra Trees
2026-04-29 00:01:20,m,Access Granted,68.11%,63.67%,Extra Trees
2026-04-29 00:05:28,m,Access Denied,16.10%,46.00%,Extra Trees
2026-04-29 10:20:30,m,Access Granted,77.84%,89.33%,Extra Trees
2026-04-29 10:20:46,m,Access Denied,52.83%,46.67%,Extra Trees
2026-04-29 10:20:56,m,Access Granted,66.33%,48.67%,Extra Trees
2026-04-29 10:29:30,m,Access Denied,42.48%,27.67%,Extra Trees
2026-04-29 10:29:44,m,Access Granted,58.13%,29.67%,Extra Trees
2026-04-29 11:48:47,m,Access Denied,24.62%,70.33%,Extra Trees
