hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,label
0.12705,0.112332,0.164341,0.16151,0.117751,0.103932,0.139721,0.140203,0.110813,1
0.097557,0.095074,0.177894,0.167779,0.112121,0.117521,0.112531,0.124388,0.101013,1
0.118941,0.091015,0.177937,0.179303,0.135835,0.11427,0.159813,0.136434,0.100938,1
0.037249,0.112031,0.093757,0.152032,0.121189,0.097255,0.130927,0.133586,0.12017,1
0.107113,0.105827,0.161197,0.089309,0.125098,0.097054,0.137653,0.108256,0.101927,1
0.111084,0.10189,0.176584,0.152928,0.106818,0.107151,0.135604,0.100238,0.10394,1
0.124796,0.099925,0.162954,0.140307,0.120953,0.112823,0.137762,0.103105,0.095513,1
0.121831,0.089492,0.126818,0.14925,0.120574,0.101199,0.125363,0.097173,0.094649,1
0.101518,0.089843,0.132562,0.148355,0.108065,0.110123,0.134836,0.102775,0.097824,1
0.114087,0.090471,0.166023,0.172236,0.127392,0.117829,0.159269,0.117503,0.122094,1
0.133383,0.119786,0.133611,0.136777,0.148852,0.113104,0.175158,0.134184,0.116715,1
0.126084,0.101664,0.167826,0.177156,0.149677,0.116552,0.152785,0.141365,0.103117,1
0.115862,0.106371,0.145855,0.166906,0.109445,0.10844,0.129904,0.115215,0.093338,1
0.117481,0.13708,0.144814,0.14823,0.101671,0.115931,0.127518,0.083769,0.124549,1
0.108075,0.086764,0.16273,0.174649,0.105451,0.127046,0.142468,0.122189,0.106458,1
0.105405,0.098356,0.170054,0.159258,0.110488,0.117529,0.143881,0.136553,0.109918,1
0.110538,0.098884,0.175941,0.17153,0.117288,0.110216,0.14414,0.102755,0.120887,1
0.136081,0.085028,0.136784,0.155213,0.089423,0.116003,0.130908,0.096599,0.104983,1
0.105633,0.088674,0.141507,0.161101,0.109116,0.105186,0.135456,0.117829,0.114779,1
0.170186,0.142559,0.179888,0.166074,0.124549,0.132434,0.167763,0.201611,0.137055,1
0.102779,0.084999,0.088013,0.145304,0.096486,0.096536,0.112166,0.126349,0.110953,1
0.132292,0.102419,0.163822,0.165492,0.112837,0.103936,0.118721,0.13901,0.092573,1
0.115538,0.091753,0.154761,0.161011,0.120513,0.106845,0.131839,0.123174,0.1067,1
0.109989,0.097684,0.152207,0.16254,0.097115,0.114076,0.137701,0.12929,0.108793,1
0.116651,0.094749,0.167895,0.16337,0.124675,0.107188,0.130488,0.120514,0.101673,1
0.10527,0.086452,0.15655,0.160312,0.117207,0.112306,0.140087,0.107653,0.110002,1
0.120785,0.120613,0.160792,0.172424,0.105304,0.125914,0.135106,0.11012,0.110066,1
0.109388,0.08916,0.142601,0.132226,0.09475,0.099421,0.121857,0.095695,0.106304,1
0.120894,0.088553,0.145721,0.154519,0.106772,0.11132,0.119587,0.101287,0.097684,1
0.108967,0.089451,0.148494,0.145161,0.115732,0.08529,0.113585,0.08675,0.081874,1
