hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,label
0.121901,0.117097,0.128709,0.125076,0.108216,0.109585,0.147998,0.09146,0.122994,0
0.126269,0.104166,0.129045,0.151257,0.107537,0.092101,0.134391,0.122629,0.13598,0
0.115735,0.104627,0.143503,0.163603,0.10526,0.101909,0.124774,0.09865,0.090997,0
0.115137,0.086208,0.139481,0.166512,0.101605,0.107525,0.124701,0.093798,0.103688,0
0.099391,0.08671,0.137952,0.148162,0.097608,0.101133,0.118762,0.086728,0.098396,0
0.120685,0.097075,0.12504,0.15312,0.108048,0.110189,0.126739,0.091552,0.088609,0
0.119089,0.089131,0.118516,0.148246,0.098415,0.103725,0.127761,0.093486,0.10234,0
0.113791,0.070651,0.118238,0.151548,0.109901,0.096151,0.126003,0.093379,0.085773,0
0.115645,0.102475,0.147526,0.159945,0.108393,0.102394,0.081094,0.10309,0.110723,0
0.105266,0.085687,0.119015,0.150546,0.100525,0.099158,0.122566,0.092603,0.079432,0
0.116011,0.098075,0.118426,0.156134,0.105209,0.103016,0.126626,0.086404,0.107825,0
0.108898,0.092793,0.119853,0.171629,0.134015,0.112264,0.128869,0.088539,0.106179,0
0.101728,0.084443,0.134971,0.159339,0.100416,0.097138,0.113803,0.103827,0.104123,0
0.117159,0.072803,0.127106,0.151839,0.109339,0.093905,0.118623,0.109394,0.10477,0
0.095274,0.093878,0.118207,0.158911,0.107316,0.111491,0.111404,0.093606,0.084163,0
0.099236,0.092377,0.115812,0.15723,0.096916,0.102269,0.121249,0.079965,0.116862,0
0.10121,0.102482,0.117052,0.162279,0.118938,0.101708,0.176903,0.117463,0.110234,0
0.129675,0.110236,0.155965,0.171363,0.125746,0.12538,0.211967,0.134932,0.158576,0
0.146333,0.142328,0.14755,0.167953,0.099392,0.109555,0.176924,0.14164,0.117821,0
0.122122,0.119179,0.141037,0.215695,0.129786,0.142182,0.221035,0.18272,0.209106,0
0.122928,0.131545,0.135157,0.152571,0.100652,0.131019,0.197733,0.121855,0.144139,0
0.115524,0.101684,0.12393,0.160545,0.115402,0.136767,0.202431,0.174781,0.161109,0
0.118526,0.128098,0.130573,0.161699,0.106484,0.141037,0.158493,0.192328,0.169124,0
0.115982,0.133671,0.146552,0.205039,0.128564,0.149722,0.214601,0.199602,0.162202,0
0.174945,0.12802,0.152288,0.160992,0.118843,0.135818,0.200337,0.216893,0.123482,0
0.19689,0.139727,0.135543,0.164327,0.133912,0.166486,0.229958,0.20621,0.161796,0
0.165932,0.129121,0.150504,0.178413,0.110197,0.146483,0.207783,0.179643,0.152109,0
0.135321,0.122444,0.141877,0.182049,0.115107,0.144869,0.209232,0.171261,0.130586,0
0.172156,0.109954,0.151347,0.195116,0.121346,0.173236,0.195158,0.186735,0.129547,0
0.172114,0.136532,0.157308,0.178308,0.116608,0.166101,0.108161,0.140123,0.158489,0
